DATE,YEAR,MONTH,DAY,HOURS,MINS,MSAveryC01,MSUrisC01,MSAveryC02,MSButlerC01,MSKentC01,MSLehmanC01,MSNWCBC02,MSSociC01
2014-09-01T18:15:00,2014,9,1,18,15,0,0,0,0,0,0,1,0
2014-09-02T05:45:00,2014,9,2,5,45,0,0,0,1,0,0,0,0
2014-09-02T06:00:00,2014,9,2,6,0,0,0,0,2,0,0,0,0
2014-09-02T06:30:00,2014,9,2,6,30,0,0,0,1,0,0,0,0
2014-09-02T07:00:00,2014,9,2,7,0,0,0,0,2,0,0,0,0
2014-09-02T07:15:00,2014,9,2,7,15,0,0,0,2,0,0,0,0
2014-09-02T07:30:00,2014,9,2,7,30,0,0,0,8,0,0,0,0
2014-09-02T07:45:00,2014,9,2,7,45,0,0,0,2,0,0,0,0
2014-09-02T08:00:00,2014,9,2,8,0,1,1,0,12,0,0,0,0
2014-09-02T08:15:00,2014,9,2,8,15,0,20,0,15,0,0,0,0
2014-09-02T08:30:00,2014,9,2,8,30,1,22,1,25,0,0,0,0
2014-09-02T08:45:00,2014,9,2,8,45,0,21,0,34,1,0,0,0
2014-09-02T09:00:00,2014,9,2,9,0,0,21,6,75,2,7,12,0
2014-09-02T09:15:00,2014,9,2,9,15,0,13,11,105,7,20,29,0
2014-09-02T09:30:00,2014,9,2,9,30,0,24,9,120,7,24,28,0
2014-09-02T09:45:00,2014,9,2,9,45,0,29,17,104,14,30,30,0
2014-09-02T10:00:00,2014,9,2,10,0,1,42,15,144,11,30,38,2
2014-09-02T10:15:00,2014,9,2,10,15,0,40,14,187,17,29,35,13
2014-09-02T10:30:00,2014,9,2,10,30,2,35,22,134,13,22,32,8
2014-09-02T10:45:00,2014,9,2,10,45,1,78,23,118,9,43,32,9
2014-09-02T11:00:00,2014,9,2,11,0,0,66,22,119,17,36,33,11
2014-09-02T11:15:00,2014,9,2,11,15,1,58,29,127,18,36,26,7
2014-09-02T11:30:00,2014,9,2,11,30,1,60,12,160,27,30,54,12
2014-09-02T11:45:00,2014,9,2,11,45,1,62,18,183,12,42,48,11
2014-09-02T12:00:00,2014,9,2,12,0,0,71,21,138,7,37,28,11
2014-09-02T12:15:00,2014,9,2,12,15,1,69,21,126,12,24,25,14
2014-09-02T12:30:00,2014,9,2,12,30,0,75,20,115,16,30,48,11
2014-09-02T12:45:00,2014,9,2,12,45,1,101,19,140,16,40,26,13
2014-09-02T13:00:00,2014,9,2,13,0,0,95,29,180,30,44,38,10
2014-09-02T13:15:00,2014,9,2,13,15,1,116,25,203,11,42,55,7
2014-09-02T13:30:00,2014,9,2,13,30,2,133,23,172,15,40,47,10
2014-09-02T13:45:00,2014,9,2,13,45,0,128,35,176,15,52,32,18
2014-09-02T14:00:00,2014,9,2,14,0,2,90,28,173,13,44,43,12
2014-09-02T14:15:00,2014,9,2,14,15,0,108,20,213,19,36,44,9
2014-09-02T14:30:00,2014,9,2,14,30,0,76,33,157,20,39,98,13
2014-09-02T14:45:00,2014,9,2,14,45,2,69,27,190,18,40,81,12
2014-09-02T15:00:00,2014,9,2,15,0,0,55,23,156,12,40,47,9
2014-09-02T15:15:00,2014,9,2,15,15,1,86,21,155,17,27,51,21
2014-09-02T15:30:00,2014,9,2,15,30,0,58,23,175,27,45,66,25
2014-09-02T15:45:00,2014,9,2,15,45,1,64,26,132,22,33,44,12
2014-09-02T16:00:00,2014,9,2,16,0,0,108,21,173,23,34,57,11
2014-09-02T16:15:00,2014,9,2,16,15,0,124,28,210,25,49,47,7
2014-09-02T16:30:00,2014,9,2,16,30,5,78,21,149,16,38,38,5
2014-09-02T16:45:00,2014,9,2,16,45,0,48,14,128,17,26,36,9
2014-09-02T17:00:00,2014,9,2,17,0,2,52,10,138,12,26,39,10
2014-09-02T17:15:00,2014,9,2,17,15,1,47,0,112,14,18,30,7
2014-09-02T17:30:00,2014,9,2,17,30,1,52,0,122,15,31,40,8
2014-09-02T17:45:00,2014,9,2,17,45,1,74,0,142,8,17,38,10
2014-09-02T18:00:00,2014,9,2,18,0,1,47,0,109,12,36,19,5
2014-09-02T18:15:00,2014,9,2,18,15,0,42,0,87,5,22,27,7
2014-09-02T18:30:00,2014,9,2,18,30,0,28,0,91,5,12,21,5
2014-09-02T18:45:00,2014,9,2,18,45,0,26,0,80,6,8,15,4
2014-09-02T19:00:00,2014,9,2,19,0,0,18,0,89,11,14,26,4
