,YEAR,MONTH,DAY,HOURS,MINS,Lehman Library,Northwest Corner Building,Avery,Lerner,East Asian Library,John Jay,Butler,Uris
2014-09-01T00:00:00,2014,9,1,0,0,2,3,13,55,5,4,64,1
2014-09-01T00:15:00,2014,9,1,0,15,2,3,13,45,8,5,51,0
2014-09-01T00:30:00,2014,9,1,0,30,2,3,11,31,9,2,37,0
2014-09-01T00:45:00,2014,9,1,0,45,2,3,10,33,3,4,38,0
2014-09-01T01:00:00,2014,9,1,1,0,2,4,10,29,3,2,29,0
2014-09-01T01:15:00,2014,9,1,1,15,1,4,10,24,4,1,25,0
2014-09-01T01:30:00,2014,9,1,1,30,2,3,8,55,6,4,69,0
2014-09-01T01:45:00,2014,9,1,1,45,2,3,8,30,1,3,29,0
2014-09-01T02:00:00,2014,9,1,2,0,2,3,8,43,3,3,52,0
2014-09-01T02:15:00,2014,9,1,2,15,2,3,8,26,5,3,30,0
2014-09-01T02:30:00,2014,9,1,2,30,2,3,8,47,4,7,37,0
2014-09-01T02:45:00,2014,9,1,2,45,1,3,8,28,4,1,19,0
2014-09-01T03:00:00,2014,9,1,3,0,2,3,8,39,2,6,30,0
2014-09-01T03:15:00,2014,9,1,3,15,2,2,9,33,2,7,34,0
2014-09-01T03:30:00,2014,9,1,3,30,2,3,8,34,4,4,20,0
2014-09-01T03:45:00,2014,9,1,3,45,2,3,8,29,2,3,26,0
2014-09-01T04:00:00,2014,9,1,4,0,2,3,8,19,3,4,18,0
2014-09-01T04:15:00,2014,9,1,4,15,2,3,8,29,4,1,18,0
2014-09-01T04:30:00,2014,9,1,4,30,3,3,9,19,4,2,18,0
2014-09-01T04:45:00,2014,9,1,4,45,2,3,8,20,1,1,15,0
2014-09-01T05:00:00,2014,9,1,5,0,2,2,8,17,1,1,12,0
2014-09-01T05:15:00,2014,9,1,5,15,2,3,8,19,2,2,21,0
2014-09-01T05:30:00,2014,9,1,5,30,2,3,8,16,2,1,15,0
2014-09-01T05:45:00,2014,9,1,5,45,2,3,8,18,2,2,15,0
2014-09-01T06:00:00,2014,9,1,6,0,2,3,8,16,1,1,13,0
2014-09-01T06:15:00,2014,9,1,6,15,2,3,8,18,1,1,17,1
2014-09-01T06:30:00,2014,9,1,6,30,2,3,8,19,0,1,16,0
2014-09-01T06:45:00,2014,9,1,6,45,2,3,8,17,0,1,17,0
